,codigo postal,renta bruta media,renta disponible media
244,28015,42.662,33.475
245,28016,68.463,51.338
246,28017,26.357,21.889
247,28018,23.637,19.885
248,28019,26.222,21.796
249,28020,44.741,34.930
250,28021,23.307,19.709
251,28022,33.903,27.131
252,28023,95.427,69.536
253,28024,27.525,22.959
254,28025,24.346,20.457
255,28026,23.674,19.926
256,28027,36.599,29.085
257,28028,42.640,33.469
258,28029,32.550,26.246
259,28030,30.779,25.078
260,28031,26.653,22.087
261,28032,29.750,24.254
262,28033,41.358,32.406
263,28034,49.158,37.789
264,28035,49.002,37.574
265,28036,86.202,64.138
266,28037,26.844,22.087
267,28038,22.812,19.356
268,28039,30.000,24.354
269,28040,51.591,39.961
270,28041,24.771,20.799
271,28042,47.318,36.363
272,28043,52.890,40.039
273,28044,25.733,21.533
274,28045,37.311,29.556
275,28046,72.809,54.526
276,28047,26.728,22.228
277,28048,30.784,25.246
278,28049,56.746,42.843
279,28050,51.475,39.152
280,28051,31.463,25.500
281,28053,20.767,17.795
282,28054,32.633,26.325
283,28055,64.753,47.929
284,28100,34.430,27.499
285,28108,75.276,55.878
286,28109,214.276,150.312
287,28223,96.930,69.866
288,28224,61.549,46.036
289,28231,42.078,32.835
290,28232,58.143,43.635
291,28290,57.577,43.505
292,28801,33.341,26.353
293,28802,21.029,18.089
294,28803,24.461,20.521
295,28804,27.051,22.472
296,28805,29.949,24.512
297,28806,30.785,24.981
298,28807,28.090,23.138
299,28901,25.819,21.552
300,28902,27.179,22.538
301,28903,25.819,21.521
302,28904,24.281,20.477
303,28905,31.712,25.767
304,28906,30.218,24.667
305,28907,38.754,30.980
306,28909,31.276,25.326
307,28911,24.306,20.605
308,28912,21.697,18.666
309,28913,21.838,18.826
310,28914,32.018,25.917
311,28915,22.845,19.553
312,28916,29.070,23.691
313,28917,22.785,19.350
314,28918,32.188,26.060
315,28919,28.029,22.976
316,28921,22.149,18.937
317,28922,29.752,24.291
318,28923,24.747,20.893
319,28924,30.779,25.217
320,28925,30.502,24.879
321,28931,21.459,18.422
322,28932,26.013,21.759
323,28933,26.621,22.121
324,28934,21.489,18.522
325,28935,26.539,21.976
326,28936,23.952,20.164
327,28937,22.573,19.201
328,28938,24.762,20.813
329,29001,35.563,28.484
330,29002,27.440,22.754
331,29003,20.160,17.450
332,29004,25.910,21.538
333,29006,22.238,19.033
334,29007,27.162,22.520
335,29008,26.937,22.164
336,29009,22.988,19.521
337,29010,25.828,21.463
338,29011,20.240,17.544
339,29012,27.613,22.645
340,29013,26.475,22.019
341,29014,20.976,18.060
342,29016,47.915,37.062
343,29017,34.242,27.633
344,29018,38.639,30.334
345,29140,25.875,21.528
346,29190,25.078,20.983
347,29590,20.323,17.489
348,29591,19.949,17.129
349,30001,46.107,35.795
350,30002,28.547,23.307
351,30003,28.054,23.114
352,30004,36.741,28.980
353,30005,37.288,29.692
354,30006,22.564,19.127
355,30007,33.550,26.607
356,30008,42.960,33.686
357,30009,32.007,25.774
358,30010,23.669,19.773
359,30011,27.014,22.205
360,30012,23.328,19.608
361,30100,27.924,22.779
362,30107,31.210,24.975
363,30110,26.196,21.535
364,30120,22.877,19.257
365,30139,19.184,16.414
366,30150,27.621,22.490
367,30151,30.889,24.953
368,30152,24.055,20.110
369,30153,19.149,16.538
370,30157,23.470,19.697
371,30158,21.534,18.272
372,30160,21.087,17.980
373,30161,21.049,17.832
374,30162,21.450,17.948
375,30163,24.938,20.558
376,30168,21.589,18.520
377,30169,21.941,18.623
378,30201,37.633,29.643
379,30202,24.544,20.462
380,30203,25.510,21.333
381,30204,29.943,24.492
382,30205,28.968,23.670
383,30300,22.851,19.445
384,30310,22.991,19.486
385,30319,32.107,25.720
386,30330,20.135,17.224
387,30366,20.327,17.373
388,30370,29.130,23.614
389,30380,24.174,19.982
390,30385,22.310,18.812
391,30390,19.331,16.788
392,30393,24.477,20.425
393,30394,29.740,24.088
394,30395,23.427,19.738
395,30570,21.472,18.259
396,30579,20.527,17.522
397,30580,18.504,16.138
398,30589,18.171,15.857
399,30590,17.643,15.372
400,30593,23.684,19.709
401,30594,21.190,18.023
402,30830,29.070,23.592
403,30832,22.151,18.832
404,30833,21.329,18.114
405,30835,20.081,17.258
406,33001,31.713,25.827
407,33002,33.511,27.151
408,33003,38.836,30.676
409,33004,48.907,38.128
410,33005,44.914,35.296
411,33006,34.458,27.553
412,33007,41.479,32.676
413,33008,30.053,24.467
414,33009,30.097,24.501
415,33010,24.573,20.615
416,33011,25.026,20.906
417,33012,28.254,23.137
418,33013,29.980,24.336
419,33191,27.950,22.853
420,33201,34.849,28.045
421,33202,29.471,24.349
422,33203,38.977,31.015
423,33204,31.434,25.460
424,33205,28.634,23.690
425,33206,34.311,27.626
426,33207,26.968,22.561
427,33208,23.997,20.341
428,33209,23.973,20.199
429,33210,22.397,19.115
430,33211,24.823,20.723
431,33212,25.120,21.069
432,33213,23.047,19.574
433,33350,27.338,22.660
434,33391,28.745,23.719
435,33392,28.976,23.955
436,33394,39.810,31.494
437,35001,36.310,29.066
438,35002,46.935,37.106
439,35003,40.045,31.837
440,35004,35.212,28.302
441,35005,57.660,44.577
442,35006,30.626,25.121
443,35007,32.662,26.559
444,35008,33.544,27.272
445,35009,23.869,20.182
446,35010,30.333,24.763
447,35011,33.343,26.799
448,35012,20.751,17.880
449,35013,19.832,17.167
450,35014,22.255,18.932
451,35015,20.178,17.476
452,35016,22.027,18.805
453,35017,38.493,30.552
454,35018,23.929,20.110
